Ensembl.Gene.ID	brain_GSM752569	brain_GSM752570	cerebellum_GSM752571	cerebellum_GSM752572	heart_GSM752573	heart_GSM752575	adult mammalian kidney_GSM752576	adult mammalian kidney_GSM752578	liver_GSM752580	liver_GSM752581	testis_GSM752583	testis_GSM752585
ENSOANG00000011837	1.48537	1.85227	4.01139	3.20886	1.18094	0.88171	3.02469	2.33887	8.59179	5.06253	5.73026	8.29751
ENSOANG00000011838	11.34755	17.16542	21.12013	20.18825	1.82249	0.81651	23.71043	25.92597	0.48015	0.6098	10.01848	11.72313
ENSOANG00000011839	0.82747	2.00655	1.92893	1.75914	2.54673	2.85247	2.71334	3.49694	1.91679	0.52166	0.43488	2.58997
ENSOANG00000011840	18.18753	18.0182	44.93043	35.76162	10.40778	9.65035	11.6888	14.03458	3.47196	5.13827	54.39579	62.07266
ENSOANG00000011841	2.12164	3.07816	3.2972	4.19159	2.17661	1.85749	13.74195	12.05437	0.93611	1.48608	3.22047	3.7947
ENSOANG00000011842	17.6802	11.67584	16.39389	20.43029	0.50194	0.3308	22.46241	41.55137	0.22229	0.05646	35.78053	18.7387
ENSOANG00000011843	3.78093	7.24075	3.86124	9.64544	19.72653	9.68198	26.26428	12.99545	0.41704	0.1059	7.94599	9.52356
ENSOANG00000011844	2.94469	2.71142	2.67062	1.6468	40.21849	17.2783	23.92221	16.41596	5.14184	1.68522	9.4803	11.54204
ENSOANG00000011845	21.19556	13.62138	22.87524	15.18922	9.11489	19.50419	7.44019	18.43729	13.31107	5.98191	20.15886	26.21799
ENSOANG00000011846	45.38806	37.9954	44.48401	70.46007	32.77266	33.79962	25.81254	29.31711	6.3498	9.92538	53.50983	72.10313
ENSOANG00000011847	37.83113	56.66618	41.96233	75.75231	36.89292	26.61431	84.14858	57.93892	20.99027	27.61469	152.43549	149.88664
ENSOANG00000011848	22.11642	26.76295	23.73533	18.80947	10.90121	9.24693	34.63947	38.02797	11.55237	9.92014	11.32451	12.60883
ENSOANG00000011849	589.45628	915.35845	699.73702	638.96274	7.55735	7.92599	0.11389	0.66039	0	0.13138	15.59896	21.69445
ENSOANG00000011850	6.45841	3.2971	8.37645	6.96348	9.41542	40.5089	29.47425	66.2216	13.49801	16.00011	15.71603	20.82231
ENSOANG00000011851	3.4512	2.12268	1.49103	2.05501	0.08198	0.1838	0.20391	0.15772	0.0617	0.11761	27.73814	16.05716
ENSOANG00000011852	0.20955	1.04215	1.11631	0.97184	2.70204	0.82539	0.4071	0.11812	0.18488	0.70441	0.29371	0.3123
ENSOANG00000011853	3.38092	4.23509	6.49236	4.96027	11.00221	6.65975	6.50948	3.96306	6.0759	10.28867	2.80074	3.22211
ENSOANG00000011854	7.10877	8.75587	7.81579	12.9099	6.54871	5.33445	4.93315	5.53144	3.58462	4.74221	27.98227	26.6393
ENSOANG00000011855	5.00596	8.32605	8.49724	10.07772	5.50233	4.34834	4.40762	4.84806	2.36972	2.33757	5.18726	8.42476
ENSOANG00000011856	10.23852	21.41091	12.59626	7.85173	0.12318	0.02308	0.17024	0.1382	0.07731	0.17669	13.83774	8.36249
ENSOANG00000011857	41.70117	35.16163	46.16207	42.06624	21.53231	21.84996	37.51543	40.95038	15.65216	15.62746	62.31148	58.84672
ENSOANG00000011858	9.51205	8.84988	10.81454	9.68015	4.90084	4.80307	7.65341	8.84726	6.44317	5.25519	14.64105	15.23945
ENSOANG00000011859	0	0	0	0	0	0	0	0	0	0	66.52363	60.40931
