Ensembl.Gene.ID	prefrontal cortex_GSM752664	prefrontal cortex_GSM752665	prefrontal cortex_GSM752666	prefrontal cortex_GSM752667	prefrontal cortex_GSM752668	prefrontal cortex_GSM752669	cerebellum_GSM752670	cerebellum_GSM752671	heart_GSM752672	heart_GSM752673	adult mammalian kidney_GSM752674	adult mammalian kidney_GSM752675	liver_GSM752676	liver_GSM752677	testis_GSM752678
ENSPTRG00000015900	37.53324	44.39982	20.5762	14.69082	23.43614	23.41591	15.70571	13.61208	2.52843	3.07433	3.53568	2.27905	0.19826	0	0.49349
ENSPTRG00000015901	2.00506	6.19651	0.45323	0.86515	0.34654	1.58966	1.51527	0.33079	0.97896	0.68099	20.92688	17.60424	10.07324	5.00165	0.20691
ENSPTRG00000015903	0.46931	1.43349	0.16396	0	0.30644	0.37205	0.63467	0.43876	5.26187	4.79411	1.47996	2.21919	0.12992	1.85519	0.94092
ENSPTRG00000015905	6.71516	3.72936	4.5855	3.21858	3.78684	3.14586	6.34657	3.99516	3.20005	2.80175	5.01541	4.33003	6.92907	11.62715	1.14748
ENSPTRG00000015907	0	0.22154	0	0.11091	0	0	0.40872	0.07539	0	0	0	0	0	0	0
ENSPTRG00000015909	0.76764	0.80396	2.52886	0.30178	0.53711	1.04329	1.22362	0.51269	0.09585	0.04873	1.58361	1.43609	0.40989	0.59121	1.81403
ENSPTRG00000015911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSPTRG00000015912	0.63137	0.28928	0	0	0	0.75078	0.80055	0	0.1379	0	0.47164	0.45937	0.65552	0.34034	0.47469
ENSPTRG00000015915	1.19632	0.19934	0.22801	0.2992	0.10653	0.77606	0.66186	0.30507	0.2375	0.67627	16.78681	42.32752	3.92903	3.4002	0.49055
ENSPTRG00000015916	46.08451	50.24764	36.50123	28.56291	36.22367	37.04264	47.89612	35.77684	43.95736	36.76495	107.90695	58.64906	95.87927	31.94865	58.63885
ENSPTRG00000015917	2.97586	1.818	2.29201	3.06984	4.26165	3.32426	2.34381	4.67908	2.40295	2.42319	1.59404	2.66514	0.73022	0.70477	9.23773
