Ensembl.Gene.ID	prefrontal cortex_GSM752653	prefrontal cortex_GSM752654	cerebellum_GSM752655	cerebellum_GSM752656	heart_GSM752657	heart_GSM752658	adult mammalian kidney_GSM752659	adult mammalian kidney_GSM752660	liver_GSM752661	liver_GSM752662	testis_GSM752663
ENSGGOG00000011710	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000011711	13.81811	14.36952	17.90781	6.00286	0.03648	0	0.04968	0.03124	0	0	1.32669
ENSGGOG00000011712	11.82639	14.43669	29.92176	14.66592	1.56624	0.61569	3.42642	2.88233	1.48259	1.40681	16.08023
ENSGGOG00000011713	0	0	0	0	0.04675	0	0.06367	0	0	0	1.13427
ENSGGOG00000011714	8.27967	12.52031	15.81712	5.03465	0.14928	0.10886	2.89696	4.09072	0.08973	0.17787	2.37468
ENSGGOG00000011716	25.8407	31.43864	34.17643	25.5385	6.06767	4.14485	19.84722	15.49272	10.47384	9.34026	28.62143
ENSGGOG00000011717	0	0	0.04376	0	0	0	0	0	0	0	0.11469
ENSGGOG00000011718	9.7777	11.8103	3.5256	10.91878	0.13273	0.38722	31.45301	18.7552	0.42559	2.44021	26.94663
ENSGGOG00000011719	18.91954	19.63017	17.96588	14.23629	30.57738	7.39411	13.75364	18.75514	15.81732	12.38736	82.08564
ENSGGOG00000011720	0.09477	0	0	0.17991	0.10935	0	0	0	0	0	0.08284
ENSGGOG00000011721	57.46633	89.05749	2.02284	2.26424	65.809	95.62958	220.1384	67.82052	96.68124	392.89418	129.46156
ENSGGOG00000011722	124.2661	91.86306	143.41091	55.27446	37.33687	21.23641	57.32236	56.04924	18.90298	17.26507	58.87128
ENSGGOG00000011723	15.35088	13.71558	20.32456	9.38322	4.41687	2.05907	9.92201	8.1596	3.55892	4.28646	11.02068
ENSGGOG00000011724	15.89325	10.60805	18.09154	8.9497	1.5642	0.88544	3.14769	2.20927	0.25266	0.4451	5.64166
ENSGGOG00000011725	0.23536	0.39614	0.83626	1.04242	0.18105	0.13205	0.06164	0.11628	0.03628	0.09246	0.13715
ENSGGOG00000011726	0	0	0	0	0.51272	0	830.44914	717.73328	155.76875	55.39213	0
ENSGGOG00000011727	13.05241	20.36112	17.9022	11.51298	5.60194	3.41145	16.20864	10.6484	7.37635	8.69177	9.46105
ENSGGOG00000011728	2.54144	2.49525	4.2333	2.81442	0.24436	0.23763	0.33278	0.41858	0.39182	0.16638	2.5917
ENSGGOG00000011729	8.72306	12.4457	47.4161	12.85959	42.53074	9.29772	4.53256	2.17649	0.04043	0.04807	2.7809
ENSGGOG00000011730	29.29257	65.70071	68.18096	60.6311	15.78337	8.61551	39.0354	35.70341	26.55766	23.72445	32.93569
ENSGGOG00000011731	62.57819	74.09704	58.98904	46.41004	238.9886	99.1263	59.15548	14.34023	8.60357	13.04734	69.46922
ENSGGOG00000011732	15.05113	12.23939	0.22539	0.64208	0	0	1.06298	0.16714	0	0.26573	0.59126
ENSGGOG00000011733	22.18943	17.51459	16.61968	8.27962	3.79644	2.31814	11.78334	8.99738	7.21896	7.09379	19.39534
ENSGGOG00000011734	2.3311	3.47323	4.07386	0.87051	0.70554	0.12862	1.92169	2.83214	2.22687	0.8707	0.73483
ENSGGOG00000011735	2.23327	3.98002	2.97597	2.74331	1.26321	0.5896	1.92671	1.25488	1.53919	0.99777	4.89935
ENSGGOG00000011736	9.15789	14.05371	16.86944	18.81703	10.13201	6.52828	70.26182	64.14354	92.13197	57.09609	9.22906
ENSGGOG00000011737	75.56734	111.66041	388.51002	291.61902	25.66615	14.23845	69.25066	53.31143	50.73161	36.57102	38.93711
ENSGGOG00000011738	2.5721	2.52042	3.02099	4.17214	4.18388	1.54812	15.06714	15.71542	8.86875	6.77613	1.67253
ENSGGOG00000011739	38.66223	50.71856	37.88222	41.94082	16.58884	13.7622	64.7118	30.4186	24.86768	33.95001	59.3525
ENSGGOG00000011740	0	0	0	0	0	0	0	0.54615	1.93139	3.4258	0
ENSGGOG00000011741	12.3341	11.00968	6.6784	11.24414	11.86636	10.84562	49.50375	29.5209	33.41315	39.60652	72.1957
ENSGGOG00000011742	0	0	0.08344	0	0	0	0	0	0	0	0.21892
ENSGGOG00000011743	16.27735	12.11433	20.76339	16.84718	4.34344	5.51652	12.13514	15.82505	5.14879	6.57813	38.72496
ENSGGOG00000011744	6.62699	6.30581	12.52362	7.5623	1.86174	1.43201	8.33684	4.97209	2.58851	2.69291	27.95088
ENSGGOG00000011745	2.69739	2.79584	0.40613	0.78107	4.15	1.50487	46.45906	17.25748	2.49501	4.19074	21.84584
ENSGGOG00000011746	22.91223	44.3575	23.50825	24.09677	20.85258	14.84651	41.07621	31.25041	27.46153	37.18689	42.31103
ENSGGOG00000011747	0.15364	0	0	0	0	0	0	0	0.07106	0	10.60899
ENSGGOG00000011748	0	0	0	0	0.51845	0.2017	0	0	0	0	0.15712
ENSGGOG00000011750	27.36149	25.74649	14.85574	15.0273	8.69332	3.39871	6.07959	3.62168	0.7534	1.41985	11.65781
ENSGGOG00000011751	23.41959	40.88186	15.51491	13.46502	11.19548	6.68238	9.67373	7.07482	7.79849	8.77964	2.92435
ENSGGOG00000011752	0.1822	0.36787	0	0.06918	0.3363	0.28614	0.05726	0.07201	0.03371	0.08589	20.50846
ENSGGOG00000011753	75.6199	114.7915	79.71918	72.73118	4.12874	9.30299	21.11949	18.15262	30.91676	42.85451	108.7777
ENSGGOG00000011754	3.60171	6.23246	1.85045	1.89474	6.87652	8.19655	8.13738	6.20319	7.15796	6.9438	3.66655
ENSGGOG00000011755	0.78773	2.69938	10.40212	6.21052	0.40125	0.03982	0.21185	0.29451	0.23631	0.1338	1.12893
ENSGGOG00000011756	0	0	0	0	0	0	0	0	0	0	0.07987
ENSGGOG00000011758	65.55582	55.21636	110.38161	21.22427	0.45608	0	0.08878	0.11158	0	0.04439	7.50197
ENSGGOG00000011759	0.06193	0.20837	0.41256	1.17535	0	0	0	0	0.05729	0.04866	1.94826
ENSGGOG00000011760	0.03644	0.06133	0.04856	0.2074	0	0	0	0.03601	0	0	0
ENSGGOG00000011761	5.63456	5.65748	6.70576	6.01229	2.33163	0.56687	5.95374	5.68297	6.63157	5.87718	5.60435
ENSGGOG00000011762	33.9919	43.15273	22.70325	23.08015	9.63866	12.62129	99.68379	109.67455	43.22245	44.31662	21.97658
ENSGGOG00000011763	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000011764	0.1168	0.29487	0.38919	0.22173	0.67392	0.13106	1.00956	0.57712	0.54023	0.91776	0.51057
ENSGGOG00000011765	0.38023	0.51193	0	0.57742	0.26326	0.3413	1788.89625	2612.79279	3.86862	8.54381	0.66471
ENSGGOG00000011766	1.21399	4.97494	2.25078	4.0081	0.42635	0.65147	0.99535	0.31291	0.53702	1.07821	0.46136
ENSGGOG00000011767	0	0	0	0	0	0	0	0	0	0	15.37844
ENSGGOG00000011768	0.56651	1.58924	48.06447	19.35909	0.29056	0.28256	0.19785	0.06221	0	0.14838	0.2201
ENSGGOG00000011769	0.36704	0.20596	0.97822	0.23231	0	0	0.1923	0.08061	0	0	0.14262
ENSGGOG00000011771	15.11877	13.61684	8.01826	5.47152	1.05023	0.90779	6.03888	4.8466	3.08686	3.21792	12.72886
ENSGGOG00000011772	10.12231	9.20921	13.57975	8.05002	2.84106	2.14886	11.28508	9.5968	4.49166	6.50207	21.88031
ENSGGOG00000011773	2.8649	2.60784	3.17491	3.80161	0.40478	0.91847	3.23872	2.00767	2.36603	3.67498	4.42063
ENSGGOG00000011774	8.46758	8.14152	7.0684	6.74406	5.09863	3.56028	3.47182	2.04852	7.04899	8.02164	7.12915
ENSGGOG00000011775	11.47654	23.64087	15.31858	9.39406	12.12256	16.40165	24.70412	23.41438	28.43112	16.17969	10.28097
ENSGGOG00000011776	0.94844	1.02627	0.54165	0.12867	0.70358	0.83623	0.53234	1.00417	0.31335	0.90488	2.36862
ENSGGOG00000011777	0.2805	3.71776	0.23364	0.66557	6.31124	3.73749	3.5262	2.39052	34.60345	40.90746	2.69687
ENSGGOG00000011778	2.94309	1.81546	4.64052	3.83207	1.17346	0.32848	4.81855	4.11107	3.53465	3.57141	30.68152
ENSGGOG00000011779	7.74281	5.5759	4.14081	1.87693	0.16301	0	0.90796	0.41872	0.09502	0.05042	2.82832
ENSGGOG00000011780	7.66422	13.60596	12.58233	7.23294	2.23005	1.09049	7.58378	5.24893	4.137	2.30801	17.58768
ENSGGOG00000011781	8.76236	7.31045	5.18389	2.36607	3.0942	2.79713	4.15458	6.08335	3.10918	3.82801	7.19689
ENSGGOG00000011782	0	0	0	0	0	0	0	0	0	0	0.14119
ENSGGOG00000011783	5.93709	3.72966	9.41584	3.96861	0.48244	0.84447	1.11693	0.49577	1.0055	0.45989	9.7212
ENSGGOG00000011784	0.72552	1.36474	0.39806	0.81011	0.73864	0.67039	5.3651	4.17489	1.0658	1.71004	7.46062
ENSGGOG00000011785	0.19178	0.53791	0.72402	0.18198	0	0.03585	0.05021	0	0	0	0.78225
ENSGGOG00000011786	8.74299	6.61064	12.79576	11.24492	1.14734	1.02008	10.85957	8.20421	6.01764	9.17943	15.13528
ENSGGOG00000011787	9.2409	6.75161	7.6963	7.33619	1.38134	0.75415	8.91095	7.65785	5.4588	8.61351	18.43102
ENSGGOG00000011788	15.36066	18.45516	9.99626	7.6662	3.8992	2.187	4.58309	4.3298	2.50959	1.92792	19.72003
ENSGGOG00000011789	0	0	0	0	0.0597	0	0.1626	0.20449	0.09571	0.20324	0.18089
ENSGGOG00000011790	146.53993	174.15258	106.0667	56.67474	464.22262	116.59047	151.90694	142.31915	132.0581	78.16327	135.587
ENSGGOG00000011791	143.02693	109.79549	104.62161	128.09621	6.56909	4.71744	75.12088	48.29319	16.76986	20.68563	35.03238
ENSGGOG00000011792	10.0926	10.87168	10.65161	8.12372	4.65824	3.08037	12.30725	9.17513	6.57208	5.96307	18.34925
ENSGGOG00000011793	6.35519	7.4393	12.91	10.00103	2.63278	1.9168	11.00048	7.71993	8.53026	4.43944	4.26019
ENSGGOG00000011794	0	0.61515	0	0	0	0	0	0.18057	0	0	0
ENSGGOG00000011795	3.47336	7.66231	11.09942	2.11259	3.46313	0.83249	0.74184	0.83307	1.1229	0.71537	0.64843
ENSGGOG00000011796	3.81661	8.61375	2.94752	1.85254	4.77929	4.89099	7.29256	3.98565	9.02628	7.85445	2.919
ENSGGOG00000011797	9.35369	11.63638	9.03218	4.2892	1.40778	0.63377	5.32557	6.1172	6.81286	2.09468	4.93714
ENSGGOG00000011798	0	0.06454	0	0	0	0	0	0	0.10646	0.03013	5.16437
ENSGGOG00000011799	4.27564	2.43289	2.94	2.65749	1.38699	0.97316	5.81027	5.08192	4.79929	3.53861	36.81378
ENSGGOG00000011800	36.52557	52.63804	44.43834	17.90651	2.19992	1.12596	2.89087	2.11529	0.95909	1.10374	3.56683
ENSGGOG00000011801	0	0	0	0	0	0	0	0	0	0	0
