Ensembl.Gene.ID	brain_GSM752631	brain_GSM752632	prefrontal cortex_GSM752633	cerebellum_GSM752634	cerebellum_GSM752635	heart_GSM752636	heart_GSM752637	adult mammalian kidney_GSM752638	adult mammalian kidney_GSM752639	liver_GSM752640	liver_GSM752641	testis_GSM752642	testis_GSM752643
ENSMMUG00000032085	5.19799	4.72132	4.2624	1.66736	2.14164	5.03644	4.27749	8.48471	2.73837	0	0.05705	241.11891	164.91079
ENSMMUG00000032086	2.23313	2.95031	3.07629	0.47751	0.98151	2.16372	2.72231	1.53488	1.17648	0.19248	0	126.54011	69.44626
ENSMMUG00000032087	0	0	0	0	0	0	0	2.06894	0	0	0	0	0
ENSMMUG00000032088	6.86051	4.65617	4.16151	8.86331	7.06296	2.82284	4.12469	1.59856	2.8223	1.09326	1.04016	14.81461	23.40224
ENSMMUG00000032089	0	0	0	0	0	0	0	0	0	1.50639	0.76777	4.91181	1.5378
ENSMMUG00000032090	3.78673	2.25139	7.15441	2.55093	1.87229	0	0.831	4.09906	2.39408	0.5874	1.0478	1.27691	0.29984
ENSMMUG00000032091	55.78286	46.49978	14.89899	36.64016	51.65954	45.89885	73.34888	52.03084	55.9773	32.2756	36.92523	28.73649	11.56765
ENSMMUG00000032092	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032093	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032094	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032095	1.1255	0	0.3322	0	0	0	0.61735	0.87009	1.77886	0	0	0	0
ENSMMUG00000032096	0	0	0	0	0	0	0	0	0	2.06226	0	0	0
ENSMMUG00000032097	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032098	1.75374	4.05462	1.72563	3.37522	4.04644	5.66387	33.35204	0.90389	4.61943	1.36013	1.38638	3.44944	0.2314
ENSMMUG00000032099	0	0	0	0	0	0	0	0	0	0	0	3.7252	1.96814
ENSMMUG00000032100	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032101	1.19234	4.72561	5.27948	2.2947	1.76851	15.59551	24.2011	2.76557	2.82659	1.38703	6.59804	4.02029	2.12403
ENSMMUG00000032102	0	0	0	0.18878	0	0	0	0	0	0	0	0	0
ENSMMUG00000032104	42.56218	33.94448	6.12901	35.96448	31.82298	27.1576	129.8471	32.10618	78.75442	58.7733	20.51734	12.25136	2.46584
ENSMMUG00000032105	3.40812	2.25139	0.3354	1.0932	0.56176	1.6511	0	0	0	0	0	0	0.44972
ENSMMUG00000032106	0.98696	0.65202	0.58271	0	0	0	0	0	0	0	0	0.27728	0
ENSMMUG00000032107	3.34761	4.75926	3.09367	8.1242	6.18898	1.83329	1.597	4.95183	2.99045	2.3706	0.63289	4.29437	1.38291
ENSMMUG00000032108	2.05051	3.50944	1.43075	5.02293	2.02769	0.90308	1.43171	1.72957	1.17848	1.44573	0.29474	3.77133	2.14012
ENSMMUG00000032109	6.85021	6.87696	5.69411	0.34696	0.26739	0	0	8.78107	12.96359	0	0	0	0.03568
ENSMMUG00000032110	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032111	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032112	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032113	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032114	0	0	0	0	0	0	0	0	0	0	0	0	0
