Ensembl.Gene.ID Averaged.RPKM.brain Averaged.RPKM.heart Averaged.RPKM.kidney Averaged.RPKM.testis Averaged.RPKM.cerebellum Averaged.RPKM.liver Tau Mean Max
ENSGGOG00000000004 0 0 0 1.86771858651549 0 0 1 0.311286431085915 1.86771858651549
ENSGGOG00000000005 3.95006747315703 1.68507567216764 2.76636654997597 1.45267976954387 5.03398936904627 1.3300870945773 0.555649575734374 2.70304432141135 5.03398936904627
ENSGGOG00000000006 2.28333028123839 0 0.529689867691068 1.47875441397628 1.6433996673336 0.740013971753176 0.615311200763111 1.11253136699875 2.28333028123839
ENSGGOG00000000007 0.0179034370423773 0 0 5.71222295352454 0.17033240319615 0 0.993409366484115 0.983409798960512 5.71222295352454
ENSGGOG00000000008 0 0 0 1.53722647805484 0 0 1 0.25620441300914 1.53722647805484
ENSGGOG00000000009 0.712337450702477 0 0 0.190956136521046 0 0 0.946386046014362 0.15054893120392 0.712337450702477
ENSGGOG00000000010 1.36999260344873 0.966509380110652 0 2.89844442815562 1.32078546565747 0 0.747637911309267 1.09262197956208 2.89844442815562
ENSGGOG00000000011 4.69857061607519 0 0 0 0 0 1 0.783095102679199 4.69857061607519
ENSGGOG00000000013 1.09482886995905 0 0.49741430183204 0 1.21191688263091 0 0.737235581975797 0.467360009070333 1.21191688263091
ENSGGOG00000000014 4.14624590338007 2.69833238493803 3.91830355514471 6.25426598307953 3.90921295578381 3.1477447903537 0.430154085617381 4.01235092877997 6.25426598307953
ENSGGOG00000000015 6.0324410042898 4.81130351771292 5.80879642081465 5.57357296820157 5.46360496921596 5.17793197638513 0.110303446540227 5.47794180943667 6.0324410042898
ENSGGOG00000000018 0.700115921403111 0 1.04018899602149 0 0.770288517455072 0 0.717281293210718 0.418432239146612 1.04018899602149
ENSGGOG00000000019 0.168547248610312 0 0.33433566393461 3.27595760146957 1.30105409422709 0.662048014735287 0.849449515439328 0.956990437162811 3.27595760146957
ENSGGOG00000000020 2.26474741774402 0.645884281366432 1.49933567319111 1.26688246735776 1.50654439509113 1.43645685220748 0.438780358513939 1.43664184782632 2.26474741774402
ENSGGOG00000000021 0 0 0 4.33970394488236 0 0 1 0.723283990813727 4.33970394488236
ENSGGOG00000000024 0.483661778601936 0 0 0 0 0 1 0.080610296433656 0.483661778601936
ENSGGOG00000000025 2.46249231209859 2.73850920382849 1.68309327900351 2.79968415985383 0.510515962488274 2.45222581604276 0.296575184111073 2.10775345555257 2.79968415985383
ENSGGOG00000000027 4.54980958651357 0 0 3.88365111647308 3.82903750817236 0 0.660966531544212 2.04374970185984 4.54980958651357
ENSGGOG00000000028 0 0 0 5.70129509365021 0 0 1 0.950215848941701 5.70129509365021
ENSGGOG00000000029 0 0 0.532713776160269 0 0 0 1 0.0887856293600448 0.532713776160269
ENSGGOG00000000030 3.35453460499131 1.81580818902025 3.73165870274911 2.84649331596456 2.62837919359955 2.66539041026937 0.286611838106249 2.84037740276569 3.73165870274911
ENSGGOG00000000031 0.753659364906858 0 0 0 1.60889756579701 0 0.906313567634305 0.393759488450644 1.60889756579701
ENSGGOG00000000032 0 0 0.104901344742294 1.11304033516446 0.0633080509196925 0.196795963634586 0.934412914291621 0.246340949076839 1.11304033516446
ENSGGOG00000000033 0.749292995101419 1.43357764164422 2.27861885883877 3.03822720752742 3.82646522280707 0.341398999350824 0.590164015827094 1.94459682087829 3.82646522280707
ENSGGOG00000000035 5.60016402195452 1.23130061591277 4.26288886243266 3.17684932406501 3.53795644302519 2.6034880282322 0.470998234494635 3.40210788260373 5.60016402195452
ENSGGOG00000000036 5.12529664231965 4.60986855380698 5.10768357540491 5.87762990938255 4.8073189202042 4.02556599212075 0.194378208601989 4.92556059887317 5.87762990938255
ENSGGOG00000000038 2.68575486114282 3.82455759491116 4.7480490506236 1.79170990169423 1.99686166744578 4.98216366506685 0.395967933316952 3.33818279014741 4.98216366506685
ENSGGOG00000000039 3.3210922603165 0.890746240091205 3.27592876671408 2.48587244805926 2.8244534849926 3.02798751862981 0.246935196115556 2.63768011980058 3.3210922603165
ENSGGOG00000000040 5.3116568996075 3.47215939473916 4.49317225739244 4.48986080217388 5.41429604241732 3.92841737905027 0.198593258920619 4.51826046256343 5.41429604241732
ENSGGOG00000000041 3.74177827945084 2.25700343926537 3.49423069168771 6.32408493395701 3.95804781011874 1.34278658285455 0.532142690749074 3.5196552895557 6.32408493395701
ENSGGOG00000000043 0 0 0.52955648101773 0 2.14669438636033 0.629521722864064 0.892012741893178 0.550962098373687 2.14669438636033
ENSGGOG00000000044 0 0 0.317733259972198 0 0 0.712082280676462 0.910759397166755 0.171635923441443 0.712082280676462
