Ensembl.Gene.ID	27PC.Tau
ENSG00000127720	0.284301103949954
ENSG00000256574	0.989212422120715
ENSG00000237787	1
ENSG00000172244	0.788085268249696
ENSG00000189241	0.222313725612969
ENSG00000100796	0.224207904192296
ENSG00000143376	0.28552487973201
ENSG00000214814	0.925828790005121
ENSG00000165240	0.509463434006542
ENSG00000180739	0.887802248650338
ENSG00000172020	0.926091655735158
ENSG00000163870	0.163635687768847
ENSG00000139218	0.128574056720386
ENSG00000267596	0.838836823229945
ENSG00000142185	0.678518290887953
ENSG00000162676	0.83632021822848
ENSG00000112812	0.565662401756255
ENSG00000005884	0.424428906971227
ENSG00000128595	0.252775865620355
ENSG00000136531	0.983382121083909
ENSG00000183617	0.091437787267792
ENSG00000175220	0.222103247975084
ENSG00000112981	0.747574582125942
ENSG00000156282	1
ENSG00000168283	0.182588443286178
ENSG00000204165	0.856740597198595
ENSG00000204533	0.504145183772119
ENSG00000178934	0.966435253932078
ENSG00000034510	0.114633680853752
ENSG00000187608	0.343556924441897
ENSG00000100652	1
ENSG00000258472	0.691502845888112
ENSG00000174684	0.451399783456322
ENSG00000261052	0.492930117540912
ENSG00000230873	0.939611578974679
ENSG00000131652	0.206891937461513
ENSG00000119314	0.275115246810282
ENSG00000196652	0.459949750859074
ENSG00000100568	0.193020181451532
ENSG00000008283	0.396204492464108
ENSG00000176566	1
ENSG00000136044	0.238231530222555
ENSG00000163898	0.710118505262374
ENSG00000102057	0.814530839279
ENSG00000189132	1
ENSG00000130349	0.258534376082746
ENSG00000179776	0.537446297430846
ENSG00000182333	0.960167426790649
ENSG00000107404	0.289196157600698
ENSG00000105829	0.215047986289168
ENSG00000160111	0.887694989603162
ENSG00000165985	0.983258507104455
ENSG00000169026	0.449348372711437
ENSG00000139211	0.425178063385427
ENSG00000178804	1
ENSG00000088451	0.248161745899739
ENSG00000156049	0.576178190039627
ENSG00000099330	0.313764459158309
ENSG00000178567	0.29818084225223
ENSG00000131153	0.710610617120335
ENSG00000164330	0.617218798036053
ENSG00000105053	0.3599270016068
ENSG00000131686	0.987819535004088
ENSG00000183840	0.784365308596632
ENSG00000133665	0.951545317553925
ENSG00000243649	0.609323928050726
ENSG00000078114	0.62908964098423
ENSG00000177045	0.645708436941744
ENSG00000181852	0.154835868540731
ENSG00000167553	0.270960214358455
ENSG00000165905	0.701751326429254
ENSG00000132139	1
ENSG00000181938	0.488983714355675
ENSG00000076344	0.580109218244462
ENSG00000170632	0.159341765579919
ENSG00000186577	0.271300314435492
ENSG00000008710	0.215232395476857
ENSG00000082556	0.965685000481458
ENSG00000154222	0.149671900800818
ENSG00000047315	0.130674198279631
ENSG00000126785	0.434394476394765
ENSG00000143217	0.805403861332453
ENSG00000106714	0.764633242659721
ENSG00000162636	0.31928932266546
ENSG00000044115	0.206228865889126
ENSG00000130700	0.83668429587427
