Ensembl.Gene.ID	brain_GSM752557	brain_GSM752558	cerebellum_GSM752559	cerebellum_GSM752560	heart_GSM752561	heart_GSM752562	kidney_GSM752563	kidney_GSM752564	liver_GSM752565	liver_GSM752566	testis_GSM752567	testis_GSM752568
ENSGALG00000013879	32.02907	31.77964	44.00087	43.34615	30.49331	36.75481	110.07416	61.31151	42.06058	51.51473	75.32542	71.37466
ENSGALG00000013880	0.35744	0.45176	0.66413	0.96167	1.3453	1.20084	0.66223	0.85135	0.23112	0.13515	13.83701	20.30536
ENSGALG00000013881	6.84454	4.94707	6.28233	7.47553	3.02916	3.90398	6.47437	5.77559	3.5802	6.04548	18.35875	8.3469
ENSGALG00000013882	3.33688	5.00366	1.14051	3.50658	3.34448	4.629	6.64006	1.28288	4.37514	2.28697	14.44246	20.48222
ENSGALG00000013883	46.15567	33.10075	36.98435	38.09326	38.78336	35.05628	61.07364	37.7739	27.49576	16.58527	64.54024	102.86447
ENSGALG00000013886	27.44899	21.87242	44.02796	41.81739	15.21355	15.05923	7.19868	8.51696	3.87282	17.32998	10.88267	23.75933
ENSGALG00000013887	8.21011	8.14391	7.21294	5.46264	13.3441	10.1835	11.57915	15.33182	8.66721	4.29269	8.74178	13.91731
ENSGALG00000013889	25.94882	20.95973	33.40923	27.73118	4.26083	1.94424	10.43703	6.00388	4.09511	1.40543	12.77924	22.93045
ENSGALG00000013890	0.76205	1.79571	0.95503	1.04875	0.84017	0.51118	1.29987	2.91594	9.1858	5.44701	0.50162	0
ENSGALG00000013891	0.09913	0	0	0	0	0	0	0	0	0	0.07612	0
ENSGALG00000013892	5.42414	5.36	4.92245	5.11032	2.73698	2.21545	4.75392	6.37582	1.39785	0.48944	2.18054	2.8094
ENSGALG00000013893	3.58199	4.8335	3.55176	3.33673	0.78112	1.38619	2.7023	1.83118	0.87994	0.40465	11.63726	23.41966
ENSGALG00000013899	25.15196	28.66028	27.77515	31.77797	7.03303	7.31677	13.34665	13.05199	7.54432	5.77109	21.46943	16.18625
ENSGALG00000013900	43.95959	32.92045	116.11544	84.45664	0.02982	0.03175	42.52643	25.66451	12.40712	5.8402	3.26137	6.81196
ENSGALG00000013902	6.11369	6.54354	8.30554	6.67848	4.31389	3.3298	3.90524	4.22298	0.5996	0.4777	1.62439	2.53502
ENSGALG00000013904	22.17337	24.95666	17.06544	25.74956	4.53165	5.0217	11.71232	9.93282	3.52868	3.18113	9.36154	9.59513
ENSGALG00000013907	2.10398	2.31869	2.74018	2.10622	14.23615	14.1076	9.61843	11.47583	4.37322	3.42115	0.74977	0.7646
ENSGALG00000013911	1.80798	6.98398	2.02188	10.3425	3.37335	2.05697	5.70101	5.1758	22.30501	10.40866	4.59222	5.7668
ENSGALG00000013912	0.0887	0.3253	0.55604	1.53851	0	0	6.00326	6.75437	0	0	0.88574	0.35244
ENSGALG00000013914	1.90412	2.54662	1.93487	4.65995	1.24822	3.80561	2.45779	2.53904	0.63093	3.31548	9.08919	2.698
ENSGALG00000013916	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000013919	66.79323	60.96173	52.97347	52.05692	40.90017	36.11327	51.0177	48.52385	30.73927	31.96477	80.11953	43.21068
ENSGALG00000013920	2.67821	3.99087	3.95234	4.0506	2.51123	2.29169	2.36583	2.50512	2.59913	0.8749	15.45314	29.98261
ENSGALG00000013921	35.36394	31.40632	30.40391	32.7054	43.94213	43.46915	41.95428	41.07544	34.06445	31.18709	37.35771	37.42097
ENSGALG00000013922	5.10535	10.09709	1.56498	9.34041	0.56688	0.77602	0.36538	2.43337	99.29726	9.59075	6.68429	1.10867
ENSGALG00000013925	7.58669	8.1201	3.06791	4.13152	0.89217	0.28496	1.48951	2.36703	0.14589	0.0416	2.17498	2.81236
ENSGALG00000013926	1.22896	1.32834	0.86882	0.72854	0.27798	0.14798	1.16003	0.93285	0.5454	0.0864	2.17776	3.62948
ENSGALG00000013929	6.81164	9.33565	4.99837	5.02191	7.08163	5.54076	2.24422	2.6321	0.18313	0.1126	1.33061	1.73244
ENSGALG00000013931	4.36651	4.92483	4.41992	7.11829	3.51798	2.95698	4.34446	2.36748	5.20771	1.03595	6.06126	11.47297
ENSGALG00000013932	29.36887	29.37861	21.92224	22.03509	6.38561	4.53239	8.03273	6.02039	7.04553	1.44345	8.8502	13.9882
ENSGALG00000013934	8.47768	7.76865	0.87216	0.91418	0.13946	0.07424	0.31475	0.17832	0.54747	0.73712	1.70034	0.50257
ENSGALG00000013935	33.15848	34.06535	42.57947	46.3197	14.06652	8.25989	20.54427	13.8274	7.63738	3.33701	28.05486	49.12161
ENSGALG00000013940	3.35498	2.02266	3.48531	3.69961	0.19463	0.31096	10.58513	7.0319	0	0	1.05082	0.87667
ENSGALG00000013941	21.52088	15.67351	4.41658	3.93798	5.64675	5.95682	4.4414	3.97427	1.66037	1.06274	2.05667	1.34372
ENSGALG00000013943	5.41179	2.47949	10.85143	8.08027	7.4581	6.98769	25.30697	15.25767	22.8303	6.39809	24.93413	79.95831
ENSGALG00000013946	8.67584	10.11856	10.37866	8.73721	2.82608	3.93459	19.61835	25.01624	9.10034	9.59484	6.20794	5.0121
ENSGALG00000013948	85.65081	75.79943	2.20562	7.77031	0.32341	0.51643	2.62655	1.03372	0.21154	1.00516	6.1942	4.31051
ENSGALG00000013950	5.01634	7.11765	4.79955	6.07928	3.56811	2.21595	7.13776	3.57381	3.34516	1.55269	9.11241	18.59549
ENSGALG00000013951	2.35218	2.20551	2.43367	1.84427	1.89974	0.83476	2.1226	1.27237	0.41417	0.16872	12.66452	25.18052
ENSGALG00000013952	5.95642	5.66988	9.14287	9.02912	2.69812	3.30618	14.60913	9.95879	2.63046	1.3291	7.62318	9.90308
ENSGALG00000013953	9.03892	6.14701	0.64118	2.13566	0.31343	0.13348	0.05657	0.08015	0	0.11691	2.44463	0.76764
ENSGALG00000013954	0.55442	0.93649	0.25887	0.52361	0.31167	0.1531	0.45427	0.47506	0.20386	0.14902	0.94338	1.17447
ENSGALG00000013956	0.09657	0.58972	0.0806	0.15498	0.03545	0.03774	0.22406	0.49892	0	0.19849	1.0872	1.32917
ENSGALG00000013961	53.69936	45.75873	48.13829	35.15122	12.02708	9.10778	7.1849	10.5047	4.5982	3.9489	4.18848	6.89577
ENSGALG00000013962	22.87132	26.51272	29.97957	28.96025	20.76064	20.11117	26.05257	21.98773	33.91896	12.07483	30.53318	63.42664
ENSGALG00000013964	0.60947	0.75481	0.59861	0.80926	0.07267	0.29009	0.58998	0.71987	0.35635	0.10158	37.16269	37.81485
ENSGALG00000013967	2.51754	2.98549	3.71175	3.56637	3.42865	2.6074	14.1449	16.49193	276.16544	136.40966	7.05051	14.93962
ENSGALG00000013968	36.77272	41.89938	25.33242	23.92643	26.31536	32.26366	13.39549	16.14009	4.19555	3.14391	26.89162	18.90083
ENSGALG00000013969	0	0	0.06458	0.04964	0.28397	0	22.70489	14.37795	80.46146	40.81244	0	0
ENSGALG00000013971	21.2777	26.53692	41.76895	54.00526	23.70212	24.095	39.52953	89.67252	13.87968	19.18165	2.23728	1.78835
ENSGALG00000013973	0.28855	1.05768	0	0.41694	0.31813	0.16935	0.2871	0	0.83234	1.48322	0.22158	0.22921
ENSGALG00000013975	0	0	0	0	0	0	0.10965	0	0	0	0	0.08754
ENSGALG00000013978	40.2955	40.35208	36.15755	40.02707	12.93686	17.671	20.43092	20.44924	12.80893	15.08994	43.96343	23.53275
ENSGALG00000013980	1.30253	1.32619	0.77728	0.81654	1.13975	1.35907	0.98735	0.55371	0.56659	0.07086	0.49213	0.80477
ENSGALG00000013981	6.33878	7.83187	5.89095	5.48859	2.98385	2.75888	1.98414	1.70675	1.64356	0.80543	18.02066	47.57956
ENSGALG00000013985	1.89007	1.11193	2.28101	2.31526	0.6689	0.5478	0.69655	0.921	0.33654	0.11194	7.88425	15.21798
ENSGALG00000013987	0.82594	0.8477	0.26915	0.28637	0.12749	0.11636	0.18073	0.13974	0.04768	0	0.03802	0.1706
ENSGALG00000013990	288.4857	249.62057	168.88437	244.45244	374.42916	414.65768	671.05863	641.35263	336.64915	363.88733	837.73085	684.65387
ENSGALG00000013992	2.032	2.23439	7.80941	11.74439	0.82139	1.66965	22.91307	25.68462	206.22222	165.35456	5.25319	1.50653
ENSGALG00000013993	1.33916	2.27459	2.33319	3.46083	0.79216	0.9585	2.14474	3.77539	18.11254	28.07083	6.847	4.59216
ENSGALG00000013994	0.53292	1.17203	0.66786	1.23204	0.11751	0	0.42418	0.90148	1.38349	3.28716	2.20981	1.10063
ENSGALG00000013995	0	0	0	0	0	0	0	0	0	0	0.23834	0.49318
ENSGALG00000013999	0.81125	1.4868	0.44475	0.34186	19.28573	17.85472	1.26121	0.57187	0.21937	0.10428	2.29713	2.57765
ENSGALG00000014003	5.87571	0.71403	5.89896	0.84434	1.18107	0.03812	1.35655	0.36609	0.58525	0.17799	0.27423	0.18049
ENSGALG00000014004	3.64225	3.98072	5.15076	5.27884	6.8891	3.64776	4.55475	2.52013	4.96392	1.30538	53.79455	138.67443
ENSGALG00000014006	0.85288	1.65891	0.37083	0.72105	0.28784	0.44956	0.36369	0.41712	0.18827	0.02386	0.14701	0.7328
ENSGALG00000014009	3.66334	5.01693	1.41259	1.04701	1.81968	0.89775	1.52203	0.96467	0.72576	0.16551	0.98917	2.84593
ENSGALG00000014011	19.63741	25.2964	2.47117	1.70559	0.53237	0.23622	1.52139	1.36138	1.45091	0.46887	7.75604	11.28367
ENSGALG00000014012	8.50771	8.89618	8.96139	11.71485	13.17775	16.78699	32.56075	25.08978	20.96499	27.18681	73.66687	49.08931
ENSGALG00000014013	5.97942	6.19794	5.09806	5.59455	2.83688	2.47379	11.72768	7.25434	1.62582	1.07492	3.4625	4.51613
ENSGALG00000014014	2.24985	3.42964	2.52961	2.53178	6.24744	8.9468	2.79287	5.60193	0.15165	0.05765	2.22003	1.62849
ENSGALG00000014016	0.46829	0.51498	0	0.18042	0	0	0	0	0	0	1.00675	0.14878
ENSGALG00000014022	43.43051	32.84122	27.29385	29.37502	8.44019	7.74146	18.27198	14.79747	12.86106	15.65308	19.5085	15.58176
ENSGALG00000014023	54.24292	77.754	28.28743	45.99034	16.28628	30.93371	31.74649	40.98102	24.37312	28.99564	288.39393	306.77689
ENSGALG00000014026	49.74512	56.34052	50.31707	57.52037	20.02741	21.10392	56.63064	42.54728	29.89394	14.17367	35.5523	68.89202
ENSGALG00000014027	0	0	0	0	0	0	0	0	0	0	6.4054	1.81888
ENSGALG00000014030	0.74119	1.4263	0.97531	0.99962	0.16341	0.08699	0.44251	0.26117	0.18705	0.0254	12.06667	24.99411
ENSGALG00000014031	1.07499	2.05974	2.87829	2.54183	8.67368	4.76073	8.07066	3.03091	3.69998	1.3396	3.86486	13.11973
ENSGALG00000014033	14.1052	11.03398	90.75606	61.55713	4.1722	2.42292	9.15633	7.75942	4.52764	2.94732	3.8306	6.28536
ENSGALG00000014036	22.38526	34.57252	35.61887	31.05292	8.55019	9.34912	2.62761	5.08199	4.41354	4.45323	17.18954	21.01169
ENSGALG00000014037	0.12809	0	0	0	0	0	0	0	0	0	0.59033	0.30533
ENSGALG00000014038	17.71487	20.99427	13.493	12.66267	3.4506	2.42467	6.72629	6.44157	12.68446	6.77844	11.82465	29.88383
ENSGALG00000014041	16.14625	12.91457	14.4635	13.14833	22.32817	23.64195	21.58533	15.64327	5.76178	6.23653	64.93327	67.4785
ENSGALG00000014042	0.83691	0.59655	1.10715	1.25409	41.01003	50.21161	1.4341	3.34281	0.83825	1.14724	1.89232	1.80975
ENSGALG00000014054	7.13714	7.12506	4.58124	5.64542	1.85525	1.70277	5.19589	5.56215	3.80779	3.85754	6.77276	6.5912
ENSGALG00000014060	7.86704	11.31089	14.44882	10.58343	4.93489	4.05995	13.36053	10.61202	3.32566	1.58035	6.19731	7.81152
ENSGALG00000014063	0.42995	0.26266	0	1.65657	0.15801	0.33645	0.28519	0.20203	0	0.09822	3.96158	4.78111
ENSGALG00000014064	6.74041	6.12847	6.23643	5.42767	4.29617	2.13246	4.11288	2.96922	1.42403	0.36094	19.53091	25.43241
ENSGALG00000014065	7.67932	8.5256	7.63434	8.3932	7.77447	6.8472	11.13019	10.04465	6.01701	6.07284	23.47426	26.13052
ENSGALG00000014066	5.1275	5.39844	3.82824	3.99336	12.74951	8.06754	5.64434	4.61369	5.74305	2.16831	11.39319	15.94536
ENSGALG00000014067	25.39409	25.31143	17.16845	19.20453	12.15657	13.72728	14.0735	10.2054	9.55782	4.88539	11.28943	12.91699
ENSGALG00000014069	35.79388	37.22276	16.0026	15.69027	5.98602	6.84521	5.30194	6.66146	0.43506	2.20509	0.61764	0.3993
ENSGALG00000014070	0.08358	0.45956	0.31425	0	0	0	0.08316	0	0.06028	0	92.54499	157.14276
ENSGALG00000014071	4.51898	5.48898	12.59989	11.83588	2.95204	1.44106	14.6889	16.3957	10.0282	6.44093	11.67814	20.89057
ENSGALG00000014072	10.19984	10.4866	16.8358	14.13893	8.50265	7.00843	4.20791	3.33156	1.97342	1.96077	1.05065	1.18572
ENSGALG00000014074	29.11694	29.5349	24.52683	21.7198	11.69381	15.66301	50.07599	34.87146	14.06388	7.17557	3.86224	5.68028
ENSGALG00000014078	37.46738	38.39246	33.52866	29.46148	5.93882	3.7235	9.40889	14.00571	8.37328	5.61981	29.32252	62.32932
ENSGALG00000014079	0.84031	0.63012	0.71804	0.88311	0.37906	0.3587	1.29214	2.15389	0.24794	0.0262	1.9359	4.35416
ENSGALG00000014080	0.05739	0.15787	0.14385	0.22124	0.06327	0	11.0823	15.41843	0.04139	0	0.17636	0.22803
ENSGALG00000014081	20.35081	21.13088	16.97377	22.61439	27.26106	27.06749	23.28862	25.35891	25.54452	10.47259	8.80032	17.21389
