Ensembl.Gene.ID	brain_GSM1064856	brain_GSM1064857	heart_GSM1064858	heart_GSM1064859	mesonephros_GSM1064860	mesonephros_GSM1064861	liver_GSM1064862	liver_GSM1064863	testis_GSM1064864	testis_GSM1196057	female gonad_GSM1064865	female gonad_GSM1196056
ENSXETG00000018602	0.05632	0.08838	0.02552	0.17149	0.05299	0.9121	0.17001	0.53294	27.37301	19.93842	206.25167	248.3402
ENSXETG00000018603	2.55901	4.50898	0.16276	0.62512	1.90075	2.31955	1.27812	0.9349	5.94143	10.00337	9.72518	11.5086
ENSXETG00000018604	16.65311	21.04716	3.33045	3.76468	3.81324	2.04124	6.61263	3.31963	21.20852	31.46585	0.13102	0.82009
ENSXETG00000018605	45.51291	47.44874	60.00022	68.41577	63.52172	62.45646	24.8307	20.37713	72.37492	79.84449	83.72404	112.26824
ENSXETG00000018606	3.96424	3.49992	2.10295	3.11328	6.20402	3.52225	5.58866	1.84874	7.60492	16.92281	13.70449	22.09397
ENSXETG00000018607	0.02531	0	0.39004	0.59491	0.07144	0.02216	0	0.35948	3.39824	3.10689	0.18056	0.05069
ENSXETG00000018608	35.66082	21.93579	0.67436	1.65071	1.3316	1.06053	2.87002	1.67121	13.85948	12.26646	7.73926	3.97416
ENSXETG00000018609	0.80394	2.28595	0.5978	0.8431	0.75638	1.10114	0.28452	0.37072	2.26366	4.99243	33.95827	45.63779
ENSXETG00000018610	7.96911	9.763	4.08361	5.60372	27.125	39.91029	37.53022	58.21363	6.00469	5.00012	39.68561	36.25048
ENSXETG00000018612	2.57949	1.27436	0.97402	0.93533	0.20224	0.37647	0.43269	0.27128	0.94155	5.01331	0.19162	2.15247
ENSXETG00000018613	19.69073	32.96011	8.3046	11.61057	9.57167	16.81203	5.50994	6.84609	29.14396	17.29597	8.19144	9.06238
ENSXETG00000018616	0	0.13482	0.02922	0	0.15158	0.11285	209.81907	93.65408	2.17721	2.60097	0.08618	0.03229
ENSXETG00000018617	31.91965	28.30985	39.02966	27.11449	50.64967	39.54987	44.30587	32.28844	41.49608	44.40986	38.81698	89.20916
ENSXETG00000018619	0.35532	1.36291	0.05367	0.97915	0.38997	0.57041	0.30654	0.78474	0.61137	0.19124	0.15838	0.1186
ENSXETG00000018620	10.0536	21.08286	12.78804	13.65323	10.60405	14.52838	18.47434	11.43671	23.18851	26.20523	81.38297	107.21716
ENSXETG00000018622	2.14404	1.01299	0.06268	0.06019	0	0.12113	0	0	0	0.67003	0	0
ENSXETG00000018623	2.6343	2.02103	0	0.03821	0	0	0	0	0.37088	0.9452	0	0
ENSXETG00000018624	0.02751	0.02879	0	0	0.3883	0.19275	0	0	0.12912	0.62201	0	0
ENSXETG00000018625	1.78538	3.68225	5.59353	6.23699	5.11121	5.11464	5.03873	6.54256	5.02718	9.82855	30.10291	80.09188
ENSXETG00000018626	0.27772	0.50846	0.37753	0.36253	0.26129	0.3952	0.22462	0.08215	0.70055	3.73677	0	0
ENSXETG00000018628	45.59785	44.79293	20.40922	27.32067	24.88049	26.85072	15.43678	14.91383	21.35762	43.78616	25.14056	75.39506
ENSXETG00000018630	0.65594	1.56851	2.77399	3.99571	10.13845	5.57982	49.17673	32.72926	0.90881	2.28623	0.08355	0.09385
ENSXETG00000018631	16.83884	16.39426	0.073	0.14025	0	0.03529	0	0	0.11344	0.08671	0	0
ENSXETG00000018632	1.69225	1.12268	0.14961	0.07183	0.07766	0	0.07121	0.03907	0.42616	1.73271	0	0.04133
ENSXETG00000018633	57.68687	63.16183	7.69594	9.23779	16.94696	20.01474	10.44552	9.04317	194.09754	28.06585	128.93061	43.2487
